Site,Index,Vacancy Energy,Total Energy,Adsorption Energy
fcc,27,6.997452,7.067355,-0.509528
bridge,27,6.997452,7.083672,-0.493212
hcp,27,6.997452,7.256696,-0.320188
fcc,18,7.647198,7.910429,-0.316201
fcc,9,7.647198,7.911059,-0.315571
fcc,0,6.997452,7.261313,-0.315570
hcp,18,7.647198,7.911359,-0.315271
hcp,9,7.647198,7.911450,-0.315179
hcp,0,6.997452,7.261704,-0.315179
bridge,18,7.647198,8.070741,-0.155889
bridge,9,7.647198,8.071233,-0.155396
bridge,0,6.997452,7.421487,-0.155396
ontop,27,6.997452,8.201685,0.624802
ontop,18,7.647198,11.126816,2.900186
ontop,9,7.647198,11.130718,2.904089
ontop,0,6.997452,10.480975,2.904091
